 0.056043, 0.048477, 0.094153, 0.151597,
 0.148421, 0.122642, 0.175135, 0.239679,
 0.211097, 0.125444, 0.108817, 0.172707,
 0.184569, 0.101158, 0.043620, 0.083691,
 0.163647, 0.142443, 0.044835, 0.012423,
 0.061181, 0.058752,-0.008313,-0.039137,
 0.000560, 0.036522, 0.023351,-0.021763,
-0.042313,-0.018868,-0.047263,-0.115729,
-0.102186,-0.069214,-0.093779,-0.082664,
-0.046423,-0.018121, 0.007753, 0.005885,
-0.033813,-0.021203, 0.060807, 0.123576,
 0.102653, 0.073884, 0.085092, 0.108164,
 0.104427, 0.037549,-0.002429, 0.070334,
 0.146367, 0.108164, 0.036989, 0.047450,
 0.087708, 0.090790, 0.036802,-0.034747,
-0.040631, 0.029796, 0.039791,-0.026247,
-0.105081,-0.163460,-0.141229,-0.075098,
-0.038670,-0.077713,-0.063516, 0.022324,
 0.071829, 0.034747,-0.010368,-0.004110,
 0.115543, 0.219783, 0.182514, 0.184756,
 0.261069, 0.292359, 0.214366, 0.150290,
 0.151877, 0.165795, 0.173641, 0.203344,
 0.237811, 0.243322, 0.147114, 0.049879,
 0.082103, 0.093219, 0.003923,-0.047824,
 0.014571, 0.081730, 0.027835,-0.062115,
-0.100504,-0.079301,-0.048571,-0.059499,
-0.129086,-0.148328,-0.092378,-0.038109,
-0.065290,-0.152344,-0.232300,-0.215020,
-0.121240,-0.133290,-0.203624,-0.161031,
-0.021296, 0.059593, 0.031851,-0.034000,
-0.022324, 0.051653, 0.090603, 0.050719,
 0.026247, 0.089296, 0.154026, 0.186438,
 0.188586, 0.170932, 0.167289, 0.218009,
 0.303008, 0.325332, 0.260788, 0.190547,
 0.207734, 0.258547, 0.218849, 0.087241,
 0.049692, 0.104241, 0.096675, 0.031384,
-0.066225,-0.116664,-0.080235,-0.032412,
-0.067532,-0.144031,-0.197273,-0.160658,
-0.093125,-0.112273,-0.174295,-0.184102,
-0.065010, 0.045115, 0.004483,-0.074351,
-0.030077, 0.062395, 0.093873, 0.053521,
-0.011022,-0.013824, 0.069867, 0.146460,
 0.111993, 0.062862, 0.108070, 0.180740,
 0.226695, 0.213899, 0.163273, 0.141696,
 0.168223, 0.200542, 0.169718, 0.105548,
 0.112180, 0.101812, 0.004764,-0.120867,
-0.211750,-0.224827,-0.161218,-0.115543,
-0.094620,-0.057351,-0.062208,-0.108537,
-0.084252, 0.001681,-0.007379,-0.101065,
-0.092285, 0.036989, 0.114982, 0.051560,
-0.070241,-0.110686,-0.018027, 0.051560,
-0.035214,-0.136652,-0.066972, 0.081823,
 0.129647, 0.068373,-0.030077,-0.032972,
 0.071922, 0.118065, 0.046516,-0.012610,
 0.012423, 0.061834, 0.090323, 0.109845,
 0.094993, 0.035681, 0.014665, 0.026154,
-0.015692,-0.049785,-0.005324, 0.047170,
 0.081543, 0.113394, 0.084812,-0.007472,
-0.026154, 0.030917, 0.030263,-0.010368,
-0.057258,-0.087708,-0.015972, 0.052961,
-0.037642,-0.122174,-0.109098,-0.117411,
-0.138614,-0.111153,-0.077994,-0.041752,
 0.018401, 0.054082, 0.046796,-0.023725,
-0.047263,-0.018868,-0.015599,-0.040071,
-0.030730, 0.054922, 0.119372, 0.107230,
 0.015692,-0.044648,-0.008033, 0.005978,
-0.044835,-0.029703, 0.036148, 0.103867,
 0.141509, 0.048104,-0.032132,-0.002615,
 0.057444, 0.080983, 0.066038, 0.087988,
 0.142537, 0.166916, 0.145339, 0.115169,
 0.107230, 0.151971, 0.147581, 0.125817,
 0.138334, 0.092472, 0.046236, 0.063796,
 0.114889, 0.104147, 0.063889, 0.056884,
 0.075005, 0.073884, 0.013077,-0.084532,
-0.115169,-0.044274,-0.006632,-0.056230,
-0.085373,-0.050065,-0.046609,-0.083972,
-0.123109,-0.120493,-0.042126, 0.044741,
 0.054362, 0.041939, 0.075285, 0.056510,
-0.021296,-0.064450,-0.033066,-0.021857,
-0.015879, 0.021296, 0.051653, 0.122828,
